title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,경상북도,"경북서부지역(구미시,김천시)국민임대주택 예비자모집 공고",2022-05-16,2022-08-31,LH
국민임대,모집중,경상북도,"경북북부지역 [안동시, 청송군, 상주시, 영양군] 국민임대주택 예비입주자 모집 공고",2022-05-16,2022-09-14,LH
국민임대,모집중,경상북도,칠곡북삼휴먼시아 국민임대주택 예비입주자 모집공고,2022-05-16,2022-08-29,LH
국민임대,모집중,경상북도,"칠곡왜관2단지 국민임대 예비입주자 모집공고(51형,53형)(59형)",2022-05-16,2022-08-26,LH
국민임대,모집중,경상북도,울릉군 지역 국민임대주택 예비입주자 모집(남서),2022-05-16,2022-08-30,LH
국민임대,모집중,경상북도,구미도량2지구3단지 국민임대주택 예비입주자 모집 공고,2022-05-16,2022-08-26,LH
국민임대,모집중,경상북도,칠곡왜관3단지 국민임대주택 예비입주자 모집 공고(51형),2022-05-16,2022-08-29,LH
국민임대,모집중,경상북도,울릉군 지역 국민임대주택 예비입주자 모집(도동),2022-05-16,2022-08-30,LH
국민임대,모집중,경상북도,"칠곡왜관4단지 국민임대 예비입주자 모집공고(46,51형)",2022-05-16,2022-08-26,LH
국민임대,모집중,경상북도,울릉군 지역 국민임대주택 예비입주자 모집(천부),2022-05-16,2022-08-30,LH
