title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,충청북도,제천 영천동 행복주택 입주자 모집공고,2022-05-20,2022-09-02,충북개발공사
국민임대,모집중,충청북도,[정정공고]진천군 국민임대 예비입주자 정례모집(‘22.5.16),2022-05-16,2022-09-30,LH
국민임대,모집중,충청북도,[정정공고]증평군지역 국민임대주택 예비입주자 모집 공고(2022.05.16),2022-05-16,2022-09-30,LH
국민임대,모집중,충청북도,진천군 국민임대 예비입주자 정례모집(‘22.5.16),2022-05-16,2022-09-30,LH
국민임대,모집중,충청북도,청주시 국민임대 예비입주자 정례모집(22.5.16),2022-05-16,2022-09-15,LH
10년임대,모집중,충청북도,충북 청주시 신축다세대주택 자격완화 입주자 모집(2022.05.16 공고),2022-05-16,2022-06-08,LH
50년임대,모집중,충청북도,제천장락1 50년공공임대주택 예비입주자 수시모집 공고(2022.05.16),2022-05-16,2022-07-31,LH
국민임대,모집중,충청북도,충주시지역 국민임대주택 예비입주자 모집 공고(2022.05.16),2022-05-16,2022-09-30,LH
국민임대,모집중,충청북도,음성군 지역 국민임대주택 예비입주자 모집공고(공고일 22.05.16.),2022-05-16,2022-09-30,LH
국민임대,모집중,충청북도,증평군지역 국민임대주택 예비입주자 모집 공고(2022.05.16),2022-05-16,2022-09-30,LH
