title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,대구광역시,"대구금호(1,5,8단지) 및 대구남산 국민임대주택 예비입주자 모집공고",2022-05-16,2022-09-07,LH
행복주택,모집중,대구광역시,대구도시공사 수성알파시티 행복주택 예비입주자 모집,2022-05-16,2022-06-09,대구도시공사
매입임대,모집중,대구광역시,대구북부권주거복지지사 기존주택 등 매입임대주택 입주자 모집,2022-05-13,2022-06-17,LH
행복주택,모집중,대구광역시,대구대곡 천년나무 행복주택 입주자 모집공고,2022-05-11,2022-09-02,LH
매입임대,모집중,대구광역시,"[경북 경산, 대구 동구_수성구] 신혼(혼인)부부매입임대주택II(전세형) 입주자격완화 추가 모집공고",2022-05-06,2022-06-27,LH
전세임대,모집중,서울특별시외 16개 지역,2022 다자녀 전세임대 1순위 입주자 모집 공고,2022-05-02,2022-07-31,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
