title,status,area,name,re_date,pre_date,corporation
영구임대,모집중,경기도,[정정공고]파주운정3 A34블록 영구임대주택 추가 및 예비입주자모집공고(22.05.13),2022-05-13,2022-09-08,LH
행복주택,모집중,경기도,[정정공고]화성시 지역 행복주택 입주자격완화 예비입주자 모집,2022-05-13,2022-08-31,LH
행복주택,모집중,경기도,화성시 지역 행복주택 입주자격완화 예비입주자 모집,2022-05-13,2022-08-31,LH
영구임대,모집중,경기도,파주운정3 A34블록 영구임대주택 추가 및 예비입주자모집공고(22.05.13),2022-05-13,2022-09-08,LH
행복주택,모집중,경기도,화성봉담2 A-2블록 신혼희망타운 행복주택 입주자격완화 추가모집,2022-05-12,2022-09-02,LH
매입임대,모집중,경기도,2022년 경기도 시흥시 매입임대주택 입주자 선착순 수시모집,2022-05-10,2022-07-31,LH
매입임대,모집중,경기도,[오산시] 다가구 등 매입임대주택 예비입주자 모집 공고,2022-05-10,2022-07-31,LH
국민임대,모집중,경기도,"[정정공고]평택시,안성시 국민임대 예비입주자 모집공고(22.05.06)",2022-05-06,2022-09-20,LH
행복주택,모집중,경기도,[정정공고]2022년 5월 고양시 지역 행복주택 예비입주자 모집 공고,2022-05-06,2022-08-26,LH
행복주택,모집중,경기도,[정정공고]파주시 행복주택 입주자격완화 예비자 모집공고(22.5.6),2022-05-06,2022-09-08,LH
