title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,경상남도,진주시 지역 국민임대 예비입주자 모집(`22.05.18),2022-05-18,2022-09-02,LH
국민임대,모집중,경상남도,개나리3차 시영임대아파트 입주(대기)자 모집공고,2022-05-18,2022-08-19,창원시
국민임대,모집중,경상남도,양산시 지역 국민임대주택 예비입주자 모집 공고(‘22.05.16),2022-05-16,2022-09-20,LH
국민임대,모집중,경상남도,김해시지역_김해장유2_국민임대주택 5월 예비입주자 모집 공고,2022-05-16,2022-09-23,LH
국민임대,모집중,경상남도,창원시지역_진해청안그린빌_국민임대주택 예비입주자 모집공고(2022.05.16.),2022-05-16,2022-09-23,LH
국민임대,모집중,경상남도,거제시지역 국민임대주택 예비입주자 모집,2022-05-16,2022-09-22,LH
국민임대,모집중,경상남도,창녕창녕 5월 국민임대주택 예비입주자 모집공고,2022-05-16,2022-09-23,LH
국민임대,모집중,경상남도,김해시 지역 국민임대주택 예비입주자 모집공고,2022-05-16,2022-09-15,LH
국민임대,모집중,경상남도,창원시 지역 국민임대주택 예비입주자 모집 공고,2022-05-16,2022-09-02,LH
국민임대,모집중,경상남도,밀양내이 국민임대주택 예비입주자 모집 공고,2022-05-16,2022-09-02,LH
