title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,전라남도,나주빛가람5·나주빛가람6 국민임대주택 입주자격완화 예비입주자 모집(2022.05.17),2022-05-17,2022-09-08,LH
국민임대,모집중,전라남도,"순천,광양,고흥,보성 지역 국민임대주택 예비입주자 모집 공고",2022-05-16,2022-07-29,LH
국민임대,모집중,전라남도,목포포미2 국민임대 예비입주자 모집공고(2022.05.16.),2022-05-16,2022-09-29,LH
국민임대,모집중,전라남도,장성군 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
국민임대,모집중,전라남도,무안회룡 국민임대 예비입주자 모집공고(2022.05.16.),2022-05-16,2022-09-29,LH
국민임대,모집중,전라남도,목포옥암2 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-21,LH
국민임대,모집중,전라남도,담양군 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
국민임대,모집중,전라남도,나주시 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
국민임대,모집중,전라남도,함평군 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
영구임대,모집중,전라남도,영암남풍 영구임대 입주자 추가모집,2022-05-06,2022-08-25,LH
